indicador_id,secao,grupo,indicador,unidade,periodo,ordem_periodo,valor,variacao_trimestral_abs,variacao_trimestral_pct,variacao_anual_abs,variacao_anual_pct,situacao_trimestral,situacao_anual,fonte
atividades--agricultura-pecuaria-producao-florestal-pesca-e-aquicultura,Atividades,Grupamentos de atividade,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Mil pessoas,jan-fev-mar/2026,3,311.0,-29.0,-8.6,-19.0,-5.8,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--industria-geral,Atividades,Grupamentos de atividade,Indústria geral,Mil pessoas,jan-fev-mar/2025,1,438.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--industria-geral,Atividades,Grupamentos de atividade,Indústria geral,Mil pessoas,out-nov-dez/2025,2,461.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--industria-geral,Atividades,Grupamentos de atividade,Indústria geral,Mil pessoas,jan-fev-mar/2026,3,413.0,-49.0,-10.5,-25.0,-5.8,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--construcao,Atividades,Grupamentos de atividade,Construção,Mil pessoas,jan-fev-mar/2025,1,255.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--construcao,Atividades,Grupamentos de atividade,Construção,Mil pessoas,out-nov-dez/2025,2,283.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--construcao,Atividades,Grupamentos de atividade,Construção,Mil pessoas,jan-fev-mar/2026,3,264.0,-19.0,-6.6,9.0,3.6,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--comercio-e-reparacao-de-veiculos,Atividades,Grupamentos de atividade,Comércio e reparação de veículos,Mil pessoas,jan-fev-mar/2025,1,776.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--comercio-e-reparacao-de-veiculos,Atividades,Grupamentos de atividade,Comércio e reparação de veículos,Mil pessoas,out-nov-dez/2025,2,745.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--comercio-e-reparacao-de-veiculos,Atividades,Grupamentos de atividade,Comércio e reparação de veículos,Mil pessoas,jan-fev-mar/2026,3,735.0,-10.0,-1.3,-41.0,-5.3,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--transporte-armazenagem-e-correio,Atividades,Grupamentos de atividade,"Transporte, armazenagem e correio",Mil pessoas,jan-fev-mar/2025,1,142.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--transporte-armazenagem-e-correio,Atividades,Grupamentos de atividade,"Transporte, armazenagem e correio",Mil pessoas,out-nov-dez/2025,2,180.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--transporte-armazenagem-e-correio,Atividades,Grupamentos de atividade,"Transporte, armazenagem e correio",Mil pessoas,jan-fev-mar/2026,3,164.0,-17.0,-9.2,22.0,15.1,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--alojamento-e-alimentacao,Atividades,Grupamentos de atividade,Alojamento e alimentação,Mil pessoas,jan-fev-mar/2025,1,213.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--alojamento-e-alimentacao,Atividades,Grupamentos de atividade,Alojamento e alimentação,Mil pessoas,out-nov-dez/2025,2,208.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--alojamento-e-alimentacao,Atividades,Grupamentos de atividade,Alojamento e alimentação,Mil pessoas,jan-fev-mar/2026,3,210.0,1.0,0.5,-4.0,-1.7,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--informacao-financas-imobiliarias-profissionais-e-administrativas,Atividades,Grupamentos de atividade,"Informação, finanças, imobiliárias, profissionais e administrativas",Mil pessoas,jan-fev-mar/2025,1,301.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--informacao-financas-imobiliarias-profissionais-e-administrativas,Atividades,Grupamentos de atividade,"Informação, finanças, imobiliárias, profissionais e administrativas",Mil pessoas,out-nov-dez/2025,2,351.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--informacao-financas-imobiliarias-profissionais-e-administrativas,Atividades,Grupamentos de atividade,"Informação, finanças, imobiliárias, profissionais e administrativas",Mil pessoas,jan-fev-mar/2026,3,363.0,13.0,3.6,62.0,20.7,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--administracao-publica-educacao-saude-e-servicos-sociais,Atividades,Grupamentos de atividade,"Administração pública, educação, saúde e serviços sociais",Mil pessoas,jan-fev-mar/2025,1,654.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--administracao-publica-educacao-saude-e-servicos-sociais,Atividades,Grupamentos de atividade,"Administração pública, educação, saúde e serviços sociais",Mil pessoas,out-nov-dez/2025,2,755.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--administracao-publica-educacao-saude-e-servicos-sociais,Atividades,Grupamentos de atividade,"Administração pública, educação, saúde e serviços sociais",Mil pessoas,jan-fev-mar/2026,3,755.0,0.0,0.0,101.0,15.4,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
