geografia,grupo_geografico,indicador,unidade,periodo,valor,destaque_ceara,fonte
Sergipe,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,1908.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,25.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2535.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Sergipe,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,2520.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,9.9,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,52.9,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,58.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,6522.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,720.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,12328.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,28.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2128.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Bahia,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,13610.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
